,created_at,text,reply_count,retweet_count,favorite_count,topic
69,Fri Jan 01 00:59:33 +0000 2021,I’d rather be “ringing in” a new year with a monster snow storm and impending deep freeze instead of the slow motion catastrophe of climate change. https://t.co/YLFowjrhuF,0,0,0,
70,Fri Jan 01 00:59:27 +0000 2021,"BBC News - Why 2021 will be turning point for tackling climate change
https://t.co/aA0UoWahBV",0,0,0,
71,Fri Jan 01 00:59:25 +0000 2021,"Rahm Emanuel said: “You never want a serious crisis to go to waste.” Opportunistic politicians will never miss an occasion to convert crises into a political gain for special interests.

This is true of the so-called climate crisis of today.

https://t.co/FrDLSei3Xt https://t.co/H5cxiNlMee",0,0,0,
72,Fri Jan 01 00:59:02 +0000 2021,"We launched the public phase of our $1.5 million Climate Change and Casco Bay Fund. We are now less than $15,000 from crossing the finish line! And we will soon be launching two more continuous monitoring stations, thanks to the Fund! https://t.co/DBbo2gPdDO https://t.co/4mvgNPEyd6",0,0,1,
73,Fri Jan 01 00:58:20 +0000 2021,Climate change | Threshold for dangerous warming likely be crossed between 2027-2042 - https://t.co/thdPHjrIYi https://t.co/kNpFw3HcGq,0,0,2,
74,Fri Jan 01 00:58:20 +0000 2021,There is no climate crisis. https://t.co/vcODp8eYg0,0,0,0,
75,Fri Jan 01 00:58:18 +0000 2021,For goodness Gina don’t tell me you have bought into the climate crisis hoax as well? Man can’t control it so let’s move on. Happy New Year. https://t.co/bVqymPnWJo,0,0,5,
76,Fri Jan 01 00:58:10 +0000 2021,"Democrats always say follow the science for Climate change and Covid, but when we get to real scientific evidence for fraud they say, where is the evidence.  I never want to hear them tout Scientific evidence again.",0,0,1,
77,Fri Jan 01 00:58:06 +0000 2021,"BBC News - Why 2021 will be turning point for tackling climate change. Comment: If we do not make substantial progress in the battle against global heating &amp; biodiversity loss over the next 12 months our chances of avoiding dire consequences are slim.
https://t.co/l5mdRO0T3c",0,3,1,
78,Fri Jan 01 00:57:54 +0000 2021,Global warming is fake my tears are what’s making the seas higher,0,0,1,
79,Fri Jan 01 00:57:25 +0000 2021,"Raise Green wishes everyone a happy #NYE! In 2021 we look forward to supporting many more collaborative, community-driven #solutions in the fight against climate change. https://t.co/2nPxNc1zf7",0,0,2,
80,Fri Jan 01 00:57:22 +0000 2021,It’s more scary that these animals have adapted to the climate change and mutated their genes so they no longer grow fur like that https://t.co/Hu4ePYkXA0,0,0,0,
81,Fri Jan 01 00:57:16 +0000 2021,"Watch An Idiot's Guide to Climate Change. Kung ayaw niyong panoorin yung kay Leonardo de Caprio sa National Geographic Channel, this is a good substitute. Even people who are not into science mege-gets agad yung topic.",0,0,0,
82,Fri Jan 01 00:56:40 +0000 2021,"Unpopular opinion -
2020 was a pretty great year:

We got Trump out of office.

Spent more time with family than we ever would have in a normal year.

Spent less time in our cars and cut greenhouse gas emissions.

Had some rewarding experiences volunteering for COVID-19 relief.",0,0,0,
83,Fri Jan 01 00:56:16 +0000 2021,"Off to Prahran pool to swim off frustrations about Fed Govt #Corruption , NSW response to covid, lack of action on climate change, etc &amp; focus instead on what I/we CAN DO each day to create a better Australia 
Incl. #PublicEnquiryIntoGovt
Pro Inegrity Anti @CorruptionBus 
#auspol",0,1,4,
84,Fri Jan 01 00:56:16 +0000 2021,Global warming is happening and outdoor skiing in New Mexico is going to be the first to go. These ski resorts are not going to have enough snow to open in a couple years.,0,0,3,
85,Fri Jan 01 00:56:02 +0000 2021,BBC:  Why 2021 will be turning point for tackling climate change https://t.co/QFEAOAURrC https://t.co/QD59qwufB4,0,0,0,
86,Fri Jan 01 00:56:02 +0000 2021,Why 2021 will be turning point for tackling climate change https://t.co/wjFwWB4KeE,0,0,0,
87,Fri Jan 01 00:55:54 +0000 2021,"So if we increased CO2 by 40% in a year we've not been using cars as much then we have to admit Global Warming isnt man made.....or the below ""facts"" are bullshit...I'm too lazy to find out which https://t.co/svmNZtq9Mo",1,0,0,
88,Fri Jan 01 00:55:43 +0000 2021,Remember that 2021 will give us new opportunities to make the future brighter for new generations to come! I hope to see progress on climate change from everyone! We can make a difference! 🌎🌍🌏 https://t.co/gFRP65wLKK,0,0,2,
89,Fri Jan 01 00:55:23 +0000 2021,David Attenborough warns need for action against climate change “has never been more urgent” https://t.co/uIBTzyaC3b,0,0,0,
90,Fri Jan 01 00:55:08 +0000 2021,"Latest Content - Car and Driver

The measure follows California’s plan to reduce greenhouse-gas emissions in an effort to combat climate change.

https://t.co/vD3A8Qogh7 https://t.co/k7Htopxyx6",0,0,0,
91,Fri Jan 01 00:55:05 +0000 2021,"2020 was a shitty year by any standard. Thank goodness it’s coming to an end. Time to get serious about COVID, climate change, social &amp; environmental justice, and equity. Enough with the baseless, damaging, and embarrassing conspiracy theories. We can fix this country.",0,0,0,
92,Fri Jan 01 00:54:57 +0000 2021,Biden made in China - China hypes climate change so that the U.S. unnecessarily sabotage itself and follow Europe’s lead while China continues to use cheap polluting carbon fuels. China uses cheap fuels and waits and watches as America and EU self-destruct!,0,0,1,
