,created_at,text,reply_count,retweet_count,favorite_count,topic
3684,Tue Aug 31 00:27:48 +0000 2021,"If you’re in education, you work on incarceration 
If you’re in climate change, you work on incarceration 
If you’re in housing, you work on incarceration 
If you’re in reproductive rights, you work on incarceration 
If you work in domestic violence, you work on incarceration",1,1,7,
2046,Wed Apr 07 07:09:40 +0000 2021,#Zimbabwe hz set a target to achieve a green economy by 2030 while climate change issues hv bn mainstreamed in all sectors of the economy.This was said by @edmnangagwa while addressing a leaders dialogue held virtually on the impact of #COVID19 on climate change mitigation report https://t.co/6fcGDL5X0E,0,3,5,
5929,Mon Dec 06 19:48:43 +0000 2021,"Coronavirus has destroyed the global warming theory since the Paris climate agreement was not applied;given that they have agreed upon reducing 50% of factories exhausts..
Imam Nasser Mohammed Al-Yamani
124
#They_Say_A_Shelter_Is_Needed
 Omicron
SlRS!F",0,13,0,
2921,Tue Jul 13 22:55:24 +0000 2021,Yes Florida. As ocean waters rise exactly what you need is a bunch of climate change deniers in office. Nice work. #TheBeat,0,0,0,
3568,Tue Aug 31 00:42:12 +0000 2021,Love having to close national forests during a pandemic because climate change is rendering the planet unlivable. https://t.co/puFhI1gUOL,2,0,0,
2023,Wed Apr 07 07:12:40 +0000 2021,"Take a look at the Starter Kit my team and I've built. Join the #CallforCode Global Challenge. I'm doing my bit towards #sustainability, are you? #UnitedNations SDG12

https://t.co/lQ2K2N0gLT https://t.co/K8RyuiUwkJ",0,0,0,
2059,Wed Apr 07 07:06:43 +0000 2021,That's why it was rebranded to Climate Change. https://t.co/mlVxp3W9np,0,0,2,
3315,Tue Jul 13 22:40:03 +0000 2021,"Some of Earth’s largest rivers are in the sky and can produce powerful storms.
Atmospheric rivers are long, narrow bands of moisture in the atmosphere extending from the tropics to higher latitudes. They can cause rain, snowfall and extreme flooding. https://t.co/yT63PMVexX https://t.co/wlhvJCPoAI",0,2,6,
1195,Sun Jan 31 04:58:14 +0000 2021,Two-thirds of the world’s population think climate change is an emergency https://t.co/TIzCSdvEb2,0,0,1,
1580,Mon Feb 22 05:31:37 +0000 2021,"The best mainstream authors, the ones who sell 200 to 300 million books like Michael Crichton and James Patterson have done, do smart, extensive research for their books. 

By 2004 Michael Crichton became an expert on climate change. 

State of Fear was a #1 national  bestseller. https://t.co/HFuA54eHOj",0,0,0,
785,Wed Feb 17 02:30:08 +0000 2021,"Ken Moelis on SPACs, Leverage, Climate Change Balance https://t.co/fBiZFCTvBB",0,0,0,
3286,Tue Jul 13 22:43:22 +0000 2021,"“The 30s are going to be the decade of global warming (aka ‘climate change’) turning catastrophic. Megafire, megaflood, megatyphoon, ‘heat domes’ — all these will replace the gentle seasons as we once thought of them. ” — @umairh https://t.co/uNWd27U2sT",1,0,2,
5705,Mon Nov 29 15:36:50 +0000 2021,"Real life examples of why gender equality is imperative in planning climate change adaptation, and how to incorporate a gender-approach into planning. Brilliant work from colleagues! 👏 @Jlinkletter @rikovermars https://t.co/Z9AEbeTvnU",0,4,4,
1963,Wed Apr 07 07:24:39 +0000 2021,"Disgusting SICK brain washing of vulnerable children. There is NO natural climate crisis! Don't blame: ""Climate Change"", blame the Climate Changers - 👇👇
https://t.co/VVgzQdb9T2",0,0,0,
2189,Thu May 20 14:02:58 +0000 2021,"The Business of Climate Change with Vivek Pathak, IFC Director, Global Head Climate✍️ https://t.co/HUp43Sto9c",0,1,1,
5927,Mon Dec 06 19:48:49 +0000 2021,"MG's @rrsassor is featured in @Cambridge_Uni alumni magazine for his leadership in climate change. Rob is passionate about connecting on values, shifting narratives and making lasting change for populations, around the world affected by climate change.💚https://t.co/G2yRgi096g https://t.co/PPAhQBwCSS",0,0,1,
157,Fri Jan 01 00:31:33 +0000 2021,the irony of david attenborough talking about climate change over fireworks. lord,0,0,3,
